Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YHR183W,P38720,GND1,"6-phosphogluconate dehydrogenase, decarboxylating 1",138740,19315,0.14,192388,465003,63386,99653,114587,13312,158055,147540,0.93,148320,217803,54146,192881,45023,58376,119425,70039,0.59
YHR184W,P38871,SSP1,Sporulation-specific protein 1,397,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA,575,NA,NA,397,179,0.45
YHR186C,P38873,KOG1,Target of rapamycin complex 1 subunit KOG1,998,378,0.38,NA,868,839,385,388,NA,620,234,0.38,4080,84,553,760,NA,1406,1376,1417,1.03
YHR187W,P38874,IKI1,Elongator complex protein 5,890,836,0.94,NA,NA,NA,NA,NA,54,54,0,0,NA,NA,NA,1726,NA,NA,1726,0,0
YHR188C,P38875,GPI16,GPI transamidase component GPI16,163,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,175,163,11,0.07
YHR190W,P29704,ERG9,Squalene synthase,5951,245,0.04,2766,23772,298,1180,514,NA,5706,9074,1.59,1194,7419,NA,15232,NA,938,6196,5827,0.94
YHR191C,P38877,CTF8,Chromosome transmission fidelity protein 8,453,94,0.21,NA,NA,540,NA,NA,176,358,182,0.51,950,422,269,NA,NA,NA,547,292,0.53
YHR192W,P38878,LNP1,Protein lunapark,2996,469,0.16,5833,1944,NA,1106,1228,NA,2528,1935,0.77,628,1631,74,14064,928,NA,3465,5323,1.54
YHR193C,P38879,EGD2,Nascent polypeptide-associated complex subunit alpha,913426,182624,0.2,406584,1207140,422620,946830,1169050,232587,730802,390286,0.53,1044050,981661,880829,781116,1490560,1398080,1096049,260817,0.24
YHR195W,P38881,NVJ1,Nucleus-vacuole junction protein 1,1096,373,0.34,NA,1703,172,NA,291,NA,722,695,0.96,NA,2622,NA,315,NA,NA,1469,1154,0.79
YHR196W,P38882,UTP9,U3 small nucleolar RNA-associated protein 9,5011,2200,0.44,1264,33448,1728,838,5523,466,7211,11852,1.64,3664,4618,903,5047,219,2414,2811,1803,0.64
YHR197W,P38883,RIX1,Pre-rRNA-processing protein RIX1,1404,80,0.06,2337,4121,147,234,1030,74,1324,1476,1.11,265,2791,284,3366,713,NA,1484,1324,0.89
YHR198C,P38884,AIM18,"Altered inheritance of mitochondria protein 18, mitochondrial",620,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,292,NA,938,NA,NA,620,264,0.43
YHR199C,P38885,AIM46,"Altered inheritance of mitochondria protein 46, mitochondrial",2300,666,0.29,NA,2163,2399,1738,1768,108,1635,803,0.49,4450,3221,1076,4736,NA,1347,2966,1523,0.51
YHR199C-A,Q3E7Y6,NBL1,N-terminal-borealin-like protein,2905,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905,2905,0,0
YHR200W,P38886,RPN10,26S proteasome regulatory subunit RPN10,17828,3903,0.22,7545,20869,17193,23950,12870,1120,13924,7802,0.56,39672,15896,24380,16269,3451,30719,21731,11602,0.53
YHR201C,P38698,PPX1,Exopolyphosphatase,1858,276,0.15,1921,2673,1537,2014,1216,129,1582,789,0.5,1307,5353,662,2429,NA,919,2134,1719,0.81
YJR145C;YHR203C,P0CX35,RPS4A,40S ribosomal protein S4-A,925527,81714,0.09,861403,2081100,716531,1132210,1041580,210623,1007241,564262,0.56,897136,1185780,570280,1105410,676846,627425,843813,237255,0.28
YHR205W,P11792,SCH9,Serine/threonine-protein kinase SCH9,704,45,0.06,510,1507,341,1297,747,91,749,505,0.67,160,1130,60,1896,90,620,659,669,1.01
YHR206W,P38889,SKN7,Transcription factor SKN7,1535,121,0.08,1003,4094,890,1053,NA,29,1414,1391,0.98,1390,2379,1759,2268,NA,483,1656,686,0.41
YHR207C,P38890,SET5,Putative protein lysine methyltransferase SET5,370,67,0.18,635,508,NA,36,568,NA,437,236,0.54,553,197,NA,161,NA,NA,304,177,0.58
YHR208W,P38891,BAT1,"Branched-chain-amino-acid aminotransferase, mitochondrial",24189,1109,0.05,8774,49553,23089,32782,22628,1651,23079,15594,0.68,31664,48647,9066,44165,2485,15763,25298,17400,0.69
YHR216W;YAR073W;YAR075W,P38697,IMD2,Inosine-5'-monophosphate dehydrogenase 2,112095,8449,0.08,131033,303643,66235,98715,101110,22531,120544,88549,0.73,167617,168306,69586,106713,47848,61805,103646,48831,0.47
YIL002C,P40559,INP51,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP51",901,281,0.31,NA,104,288,NA,1469,NA,620,605,0.97,NA,NA,NA,NA,985,1380,1182,198,0.17
YIL002W-A,Q3E7Z5,YIL002W-A,Uncharacterized protein YIL002W-A,92515,25777,0.28,73191,155724,57798,57102,54197,2418,66738,45510,0.68,121568,162518,116934,105792,88015,114924,118292,22557,0.19
YIL003W,P40558,CFD1,Cytosolic Fe-S cluster assembly factor CFD1,455,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,NA,NA,455,0,0
YIL004C,P22804,BET1,Protein transport protein BET1,1588,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2283,NA,NA,893,NA,NA,1588,695,0.44
YIL005W,P40557,EPS1,ER-retained PMA1-suppressing protein 1,2148,367,0.17,3500,8109,1235,1109,964,174,2515,2701,1.07,3476,2362,1540,2455,168,687,1781,1120,0.63
YIL007C,P40555,NAS2,Probable 26S proteasome regulatory subunit p27,3084,722,0.23,14301,5519,458,1648,763,145,3806,5027,1.32,2996,3595,3332,955,348,2947,2362,1241,0.53
YIL008W,P40554,URM1,Ubiquitin-related modifier 1,13886,9699,0.7,2874,NA,6557,3132,NA,NA,4188,1679,0.4,55001,27610,10290,17386,2291,28932,23585,16834,0.71
YIL009W,P39002,FAA3,Long-chain-fatty-acid--CoA ligase 3,1392,442,0.32,4620,1939,118,656,NA,NA,1833,1740,0.95,742,281,NA,1826,NA,NA,950,648,0.68
YIL010W,P40553,DOT5,Peroxiredoxin DOT5,10811,1653,0.15,12843,19719,4048,2128,14367,1847,9159,6846,0.75,24452,21261,16946,6126,1882,4116,12464,8785,0.7
YIL016W,P40548,SNL1,HSP70 co-chaperone SNL1,4700,1294,0.28,3587,8440,739,4579,2926,167,3406,2726,0.8,2253,9841,365,13455,NA,4053,5993,4897,0.82
YIL019W,P40546,FAF1,Protein FAF1,1103,423,0.38,597,1893,461,395,400,336,680,548,0.81,1335,1947,649,1656,1153,2416,1526,567,0.37
YIL020C,P40545,HIS6,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,4105,114,0.03,3563,11083,1350,6781,2431,112,4220,3706,0.88,1651,4245,1033,9046,NA,3980,3991,2823,0.71
YIL021W,P16370,RPB3,DNA-directed RNA polymerase II subunit RPB3,3578,1158,0.32,1886,2985,7220,1976,315,139,2420,2362,0.98,9298,4807,1442,2647,NA,5488,4736,2706,0.57
YIL022W,Q01852,TIM44,Mitochondrial import inner membrane translocase subunit TIM44,15466,1500,0.1,16184,29589,12104,11245,28481,4196,16966,9237,0.54,25725,16341,8041,15772,6947,10973,13967,6331,0.45
YIL026C,P40541,IRR1,Cohesin subunit SCC3,270,157,0.58,969,136,NA,NA,177,NA,427,383,0.9,63,120,25,244,NA,NA,113,83,0.74
YIL027C,P40540,EMC5,ER membrane protein complex subunit 5,6546,163,0.02,4765,20806,394,NA,870,NA,6709,8314,1.24,3967,7711,NA,12584,NA,1268,6383,4249,0.67
YIL030C,P40318,SSM4,ERAD-associated E3 ubiquitin-protein ligase DOA10,410,228,0.56,NA,1354,NA,NA,536,24,638,548,0.86,NA,NA,347,18,NA,NA,183,164,0.9
YIL033C,P07278,BCY1,cAMP-dependent protein kinase regulatory subunit,42761,187,0,56899,113651,23173,26510,30059,5153,42574,35234,0.83,75252,68983,27419,30392,20403,35246,42949,21165,0.49
YIL034C,P13517,CAP2,F-actin-capping protein subunit beta,28581,4566,0.16,20747,73293,9390,17187,21463,2005,24014,23060,0.96,47010,47618,28584,21836,32322,21512,33147,10696,0.32
YIL035C,P15790,CKA1,Casein kinase II subunit alpha,2126,569,0.27,3107,8653,122,1464,NA,127,2695,3175,1.18,1075,2302,210,2642,NA,NA,1557,972,0.62
YIL036W,P40535,CST6,ATF/CREB activator 2,2053,715,0.35,1072,3499,627,984,1519,331,1338,1035,0.77,5789,4328,2723,1718,271,1779,2768,1820,0.66
YIL038C,P06102,NOT3,General negative regulator of transcription subunit 3,7256,628,0.09,6862,16667,2191,4364,8505,1180,6628,5146,0.78,8388,11691,7450,7813,4727,7235,7884,2055,0.26
YIL039W,P40533,TED1,Protein TED1,1835,577,0.31,788,5368,919,NA,2577,NA,2413,1846,0.77,1059,1794,175,2005,NA,NA,1258,717,0.57
YIL041W,P40531,GVP36,Protein GVP36,223409,40417,0.18,123225,413664,112129,224249,183232,41454,182992,117996,0.64,301877,277159,307057,179585,212570,304705,263826,49815,0.19
YIL043C,P38626,CBR1,NADH-cytochrome b5 reductase 1,33472,962,0.03,47527,99567,16814,22177,17623,2891,34433,32021,0.93,46337,51149,26583,57673,7625,5694,32510,20596,0.63
YIL044C,P40529,AGE2,ADP-ribosylation factor GTPase-activating protein effector protein 2,4833,780,0.16,NA,10518,NA,4279,6307,1351,5614,3335,0.59,3659,6052,1844,5091,2321,5350,4053,1570,0.39
YIL047C,P40528,SYG1,Protein SYG1,120,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,117,NA,166,NA,NA,120,36,0.3
YIL048W,P40527,NEO1,Probable phospholipid-transporting ATPase NEO1,105,0,0,NA,105,NA,NA,NA,NA,105,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YIL051C,P40185,MMF1,"Protein MMF1, mitochondrial",594589,32644,0.05,469901,1156960,287448,657997,676196,123169,561945,329815,0.59,599036,591983,624500,409312,565979,972587,627233,169586,0.27
YIL052C,P40525,RPL34B,60S ribosomal protein L34-B,1002075,44866,0.04,593608,1988230,528730,1268640,1671310,231133,1046942,640912,0.61,1154140,1189270,420461,1401350,931198,646835,957209,335411,0.35
YIL053W,P41277,GPP1,Glycerol-1-phosphate phosphohydrolase 1,856198,71757,0.08,846616,1951710,487326,641558,674636,104803,784442,569947,0.73,1096680,1001670,850452,704285,1022040,892602,927955,129125,0.14
YIL061C,Q00916,SNP1,U1 small nuclear ribonucleoprotein 70 kDa homolog,202,169,0.84,NA,NA,NA,NA,NA,32,32,0,0,491,NA,NA,240,382,NA,371,103,0.28
YIL062C,P40518,ARC15,Actin-related protein 2/3 complex subunit 5,28239,2148,0.08,27677,44830,26621,44899,34035,4257,30387,13765,0.45,34848,25678,25392,12725,10708,47197,26091,12504,0.48
YIL063C,P40517,YRB2,Ran-specific GTPase-activating protein 2,17588,1522,0.09,18944,45928,10426,4097,15987,1011,16065,14730,0.92,34464,27287,14773,26921,8140,3077,19110,11253,0.59
YIL064W,P40516,EFM4,Protein-lysine N-methyltransferase EFM4,11063,969,0.09,12483,25641,9741,4644,7999,56,10094,7983,0.79,13082,18100,7737,8940,9270,15061,12032,3713,0.31
YIL065C,P40515,FIS1,Mitochondria fission 1 protein,2367,416,0.18,3748,4936,433,1146,1128,313,1951,1754,0.9,3624,4753,NA,2394,359,NA,2783,1629,0.59
YIL068C,P32844,SEC6,Exocyst complex component SEC6,583,15,0.03,369,1221,NA,116,NA,NA,569,473,0.83,268,440,NA,1086,NA,NA,598,352,0.59
YIL070C,P40513,MAM33,Mitochondrial acidic protein MAM33,29386,5777,0.2,5457,83559,10121,22242,17649,2624,23609,27638,1.17,66067,22788,38287,22328,29936,31572,35163,14849,0.42
YIL074C,P40510,SER33,D-3-phosphoglycerate dehydrogenase 2,10552,828,0.08,14529,28227,7162,8082,9220,1062,11380,8500,0.75,15798,19693,9062,8382,4291,1122,9724,6351,0.65
YIL075C,P32565,RPN2,26S proteasome regulatory subunit RPN2,19455,2626,0.13,34321,63007,10957,10333,13179,687,22081,20910,0.95,20256,24805,17377,18374,12875,7291,16829,5548,0.33
YIL076W,P40509,SEC28,Coatomer subunit epsilon,32819,2687,0.08,41259,76245,22201,17397,19032,4657,30132,23265,0.77,47500,47399,23780,38980,22191,33185,35506,10145,0.29
YIL078W,P04801,THS1,"Threonine--tRNA ligase, cytoplasmic",64753,7571,0.12,101184,218046,23501,32247,54047,4916,72324,71805,0.99,51828,78518,24996,122906,40429,24416,57182,34626,0.61
YIL079C,P40507,AIR1,Protein AIR1,1180,372,0.31,981,1956,538,502,NA,67,809,642,0.79,694,1472,403,4996,1228,520,1552,1586,1.02
YIL083C,P40506,CAB2,Phosphopantothenate--cysteine ligase CAB2,2374,338,0.14,2148,5078,1041,1569,2093,289,2036,1502,0.74,3916,4165,1152,5542,541,956,2712,1906,0.7
YIL084C,P40505,SDS3,Transcriptional regulatory protein SDS3,583,308,0.53,NA,NA,86,745,119,151,275,272,0.99,288,1192,1191,NA,NA,NA,890,426,0.48
YIL091C,P40498,UTP25,U3 small nucleolar RNA-associated protein 25,1837,236,0.13,3510,4151,1399,1328,1980,68,2073,1380,0.67,1501,1949,645,4203,897,416,1602,1272,0.79
YIL093C,P40496,RSM25,"37S ribosomal protein S25, mitochondrial",2537,206,0.08,1640,3807,1002,2410,4112,1015,2331,1247,0.54,5912,3061,1968,2136,109,3269,2742,1748,0.64
YIL094C,P40495,LYS12,"Homoisocitrate dehydrogenase, mitochondrial",110167,11214,0.1,204752,320219,69663,55881,71120,6654,121382,107347,0.88,216063,142736,84804,67533,44816,37769,98953,62575,0.63
YIL095W,P40494,PRK1,Actin-regulating kinase PRK1,116,85,0.73,NA,NA,NA,NA,NA,31,31,0,0,136,NA,NA,265,NA,NA,200,64,0.32
YIL096C,P40493,BMT5,25S rRNA (uridine(2634)-N(3))-methyltransferase,928,458,0.49,471,NA,NA,NA,NA,NA,471,0,0,NA,NA,NA,1386,NA,NA,1386,0,0
YIL098C,P40491,FMC1,"ATP synthase assembly factor FMC1, mitochondrial",2313,619,0.27,NA,4907,988,1016,1241,314,1693,1637,0.97,4276,3304,855,3294,NA,NA,2932,1264,0.43
YIL103W,P40487,DPH1,Diphthamide biosynthesis protein 1,1859,676,0.36,3513,7772,234,215,940,NA,2535,2885,1.14,762,627,NA,2518,1033,976,1183,683,0.58
YIL104C,P40486,SHQ1,Protein SHQ1,920,224,0.24,781,3153,NA,257,384,NA,1144,1176,1.03,NA,711,373,1387,NA,315,697,426,0.61
YIL105C,P40485,SLM1,"Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1",560,37,0.07,782,1807,376,56,99,17,523,631,1.21,536,NA,259,1127,464,NA,596,323,0.54
YIL106W,P40484,MOB1,DBF2 kinase activator protein MOB1,1512,3,0,2059,971,NA,NA,NA,NA,1515,544,0.36,2130,2533,NA,698,NA,674,1509,835,0.55
YIL107C,P40433,PFK26,6-phosphofructo-2-kinase 1,898,437,0.49,1677,993,NA,NA,NA,NA,1335,342,0.26,831,90,NA,NA,NA,NA,461,371,0.8
YIL108W,P40483,YIL108W,Putative zinc metalloproteinase YIL108W,2927,2190,0.75,1293,2105,101,234,622,67,737,742,1.01,16831,NA,593,2054,990,NA,5117,6784,1.33
YIL109C,P40482,SEC24,Protein transport protein SEC24,3857,413,0.11,5654,10284,1704,1358,1527,131,3443,3505,1.02,3644,5424,501,7512,NA,NA,4270,2571,0.6
YIL110W,P40481,HPM1,Histidine protein methyltransferase 1,1173,596,0.51,723,1355,199,841,298,42,576,448,0.78,437,1051,272,7702,313,839,1769,2668,1.51
YIL111W,P00425,COX5B,"Cytochrome c oxidase polypeptide 5B, mitochondrial",9575,2613,0.27,25874,27613,3478,8905,6345,915,12188,10592,0.87,10735,12590,3836,7455,6184,970,6962,3925,0.56
YIL112W,P40480,HOS4,Protein HOS4,82,19,0.23,NA,NA,NA,NA,112,13,63,49,0.79,137,NA,NA,64,NA,NA,100,37,0.36
YIL115C,P40477,NUP159,Nucleoporin NUP159,8157,1565,0.19,6189,13215,4230,4864,10177,877,6592,4043,0.61,10341,12143,8043,7291,9584,10933,9723,1656,0.17
YIL116W,P07172,HIS5,Histidinol-phosphate aminotransferase,1944,346,0.18,2179,3733,328,256,1495,NA,1598,1290,0.81,453,2317,818,5570,NA,NA,2289,2019,0.88
YIL118W,Q00245,RHO3,GTP-binding protein RHO3,9456,192,0.02,15998,33500,1389,3571,2757,676,9648,11849,1.23,4000,20388,8664,13844,1049,7637,9264,6363,0.69
YIL123W,P40472,SIM1,Probable secreted beta-glucosidase SIM1,1074,402,0.37,NA,1762,433,NA,413,80,672,645,0.96,657,1737,NA,1698,NA,1811,1476,475,0.32
YIL124W,P40471,AYR1,NADPH-dependent 1-acyldihydroxyacetone phosphate reductase,3738,1615,0.43,5488,12090,1726,2110,NA,NA,5354,4156,0.78,825,6094,NA,912,NA,662,2123,2294,1.08
YIL125W,P20967,KGD1,"2-oxoglutarate dehydrogenase, mitochondrial",11762,2128,0.18,21635,31053,7370,9421,12377,1486,13890,9774,0.7,21857,19238,2736,10189,2776,1005,9633,8277,0.86
YIL126W,P32597,STH1,Nuclear protein STH1/NPS1,3031,408,0.13,5572,8583,2026,1302,2958,188,3438,2840,0.83,4510,5040,1027,2708,724,1728,2623,1652,0.63
YIL127C,P40470,RRT14,Regulator of rDNA transcription protein 14,4827,242,0.05,5943,12821,2334,1828,4017,569,4585,4058,0.88,6344,6683,3863,6440,1409,5678,5070,1886,0.37
YIL128W,P40469,MET18,DNA repair/transcription protein MET18/MMS19,519,52,0.1,467,NA,NA,NA,NA,NA,467,0,0,NA,NA,781,361,NA,NA,571,210,0.37
YIL129C,P40468,TAO3,Cell morphogenesis protein PAG1,198,8,0.04,96,663,71,140,215,49,206,211,1.03,59,55,293,412,133,NA,190,140,0.74
YIL130W,P40467,ASG1,Activator of stress genes 1,454,14,0.03,265,895,243,NA,NA,NA,467,302,0.65,249,1171,73,268,NA,NA,440,429,0.97
YIL133C,P26784,RPL16A,60S ribosomal protein L16-A,609555,79522,0.13,1015340,1301560,390539,412525,873470,141026,689077,404465,0.59,571251,747773,319059,641987,670954,229175,530033,189968,0.36
YIL135C,P40463,VHS2,Protein VHS2,780,506,0.65,NA,NA,255,146,420,NA,274,112,0.41,1434,1238,1725,1355,NA,677,1286,344,0.27
YIL136W,P16547,OM45,Mitochondrial outer membrane protein OM45,47599,13047,0.27,128242,144682,36249,18047,34682,1978,60647,55011,0.91,79464,64165,28864,23907,7999,2914,34552,28124,0.81
YIL137C,P40462,TMA108,Protein TMA108,3080,530,0.17,1887,9698,538,1109,2001,69,2550,3269,1.28,2924,5557,863,5097,NA,NA,3610,1872,0.52
YIL138C,P40414,TPM2,Tropomyosin-2,127726,17387,0.14,232270,298769,94115,37407,194240,13878,145113,104119,0.72,158530,145751,73188,96282,143993,44288,110339,42130,0.38
YIL142W,P39076,CCT2,T-complex protein 1 subunit beta,49692,14145,0.28,20445,55058,31213,42795,51556,12218,35547,15709,0.44,86573,48509,36749,70607,31619,108964,63837,27707,0.43
YIL143C,Q00578,SSL2,DNA repair helicase RAD25,676,225,0.33,694,1955,332,621,NA,NA,901,624,0.69,NA,1103,56,193,NA,NA,451,464,1.03
YIL144W,P40460,NDC80,Kinetochore protein NDC80,259,57,0.22,313,629,113,NA,209,NA,316,194,0.61,NA,305,NA,100,NA,NA,203,103,0.51
YIL145C,P40459,PAN6,Pantoate--beta-alanine ligase,2011,610,0.3,1646,11975,157,1188,565,197,2621,4216,1.61,1750,2199,699,2785,628,341,1400,903,0.64
YIL147C,P39928,SLN1,Osmosensing histidine protein kinase SLN1,240,16,0.06,NA,235,215,NA,NA,NA,225,10,0.05,61,531,NA,176,NA,NA,256,200,0.78
YIL149C,P40457,MLP2,Protein MLP2,1565,209,0.13,1965,3266,764,479,1441,223,1356,1035,0.76,2919,2508,1225,1888,329,1778,1775,842,0.47
YIL150C,P32354,MCM10,Minichromosome maintenance protein 10,731,242,0.33,NA,166,1152,690,432,9,490,405,0.83,595,90,NA,NA,2234,NA,973,915,0.94
YIL154C,P32351,IMP2',Sugar utilization regulatory protein IMP2,956,77,0.08,1710,2675,97,381,298,NA,1032,1000,0.97,731,1202,NA,704,NA,NA,879,229,0.26
YIL155C,P32191,GUT2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",6694,2472,0.37,7839,24596,2679,8576,10450,854,9166,7670,0.84,5271,11111,1883,4568,682,1817,4222,3475,0.82
YIL157C,P40452,COA1,Cytochrome c oxidase assembly factor 1,3072,111,0.04,6114,6176,2562,1608,2469,165,3182,2237,0.7,6067,5800,772,1472,695,NA,2961,2443,0.83
YIL162W,P00724,SUC2,Invertase 2,2166,202,0.09,3549,4417,1089,681,1960,89,1964,1552,0.79,2727,4215,406,3290,NA,1199,2367,1386,0.59
YIL169C,P40442,YIL169C,Putative uncharacterized protein YIL169C,36526,778,0.02,54108,80208,25417,23123,36851,4114,37303,24384,0.65,45332,45784,48101,22806,35958,16506,35748,12131,0.34
YIR001C,P40561,SGN1,RNA-binding protein SGN1,6230,860,0.14,5274,11030,2650,5839,5772,1652,5370,2990,0.56,6992,9211,6551,8008,4745,7030,7090,1363,0.19
YIR003W,P40563,AIM21,Altered inheritance of mitochondria protein 21,8146,2184,0.27,7126,14232,3289,2400,8405,315,5961,4609,0.77,13321,14092,9214,11384,7441,6527,10330,2836,0.27
YIR004W,P40564,DJP1,DnaJ-like protein 1,9450,689,0.07,10014,18380,6360,1964,14302,1547,8761,6175,0.7,14193,19132,3375,11646,3728,8761,10139,5603,0.55
YIR006C,P32521,PAN1,Actin cytoskeleton-regulatory complex protein PAN1,15894,2860,0.18,14883,21501,7876,10586,20626,2733,13034,6726,0.52,22463,24786,16744,16936,13419,18180,18755,3792,0.2
YIR007W,P40566,YIR007W,Uncharacterized glycosyl hydrolase YIR007W,320,66,0.21,338,781,NA,38,NA,NA,386,306,0.79,148,96,NA,518,NA,NA,254,188,0.74
YIR008C,P10363,PRI1,DNA primase small subunit,10291,6123,0.59,10808,3813,456,3075,2690,NA,4169,3504,0.84,12843,16144,8687,22597,25424,12788,16414,5847,0.36
YIR010W,P40568,DSN1,Kinetochore-associated protein DSN1,357,54,0.15,NA,986,NA,NA,172,75,411,408,0.99,NA,NA,121,484,NA,NA,303,181,0.6
YIR012W,P35184,SQT1,Ribosome assembly protein SQT1,8888,867,0.1,10660,26437,3009,4125,3490,406,8021,8803,1.1,7158,8035,11157,18153,1416,12617,9756,5163,0.53
YIR023W,P21657,DAL81,Transcriptional activator protein DAL81,560,18,0.03,853,669,279,NA,511,NA,578,211,0.36,509,634,341,684,NA,NA,542,132,0.24
YIR024C,P40576,INA22,Inner membrane assembly complex subunit 22,1650,478,0.29,2456,4852,NA,NA,1128,75,2128,1785,0.84,442,2703,738,NA,592,1382,1172,830,0.71
YIR026C,Q02256,YVH1,Tyrosine-protein phosphatase YVH1,3228,65,0.02,4447,9164,1640,2338,1319,72,3163,2989,0.95,3106,6651,991,5964,108,2934,3292,2381,0.72
YIR032C,P32459,DAL3,Ureidoglycolate lyase,853,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,853,NA,NA,NA,NA,NA,853,0,0
YIR033W,P40578,MGA2,Protein MGA2,218,24,0.11,221,361,NA,NA,143,NA,242,90,0.37,NA,177,NA,210,NA,NA,193,17,0.09
YIR034C,P38998,LYS1,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]",31560,4782,0.15,33828,122860,19362,23149,17190,1663,36342,39840,1.1,57202,52417,15052,28265,2808,4923,26778,21506,0.8
YIR035C,P40579,YIR035C,Uncharacterized oxidoreductase YIR035C,10304,3713,0.36,2162,14596,6598,11337,4585,267,6591,5004,0.76,11923,26926,6418,17225,NA,7598,14018,7487,0.53
YIR036C,P40580,IRC24,Benzil reductase ((S)-benzoin forming) IRC24,6814,913,0.13,10416,20020,6711,4809,4071,332,7727,6271,0.81,13358,8457,2888,8209,967,1525,5901,4473,0.76
YIR037W,P40581,HYR1,Peroxiredoxin HYR1,111150,41644,0.37,70581,155656,56384,71871,55637,6908,69506,44181,0.64,337998,257723,113496,104569,36934,66041,152794,108113,0.71
YIR038C,P40582,GTT1,Glutathione S-transferase 1,17694,400,0.02,35625,43596,11666,6082,10780,816,18094,15787,0.87,30758,24896,9160,18813,NA,2845,17295,10162,0.59
YJL001W,P38624,PRE3,Proteasome subunit beta type-1,38375,2356,0.06,25554,88417,18139,36154,39493,8358,36019,25664,0.71,50107,44508,31619,35386,11760,71005,40731,18118,0.44
YJL002C,P41543,OST1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,8450,2393,0.28,2114,16820,2092,10598,3542,1172,6057,5743,0.95,16436,9758,19167,10685,5303,3712,10843,5527,0.51
YJL005W,P08678,CYR1,Adenylate cyclase,363,294,0.81,90,NA,78,66,101,11,69,31,0.45,628,2147,224,224,62,NA,657,768,1.17
YJL008C,P47079,CCT8,T-complex protein 1 subunit theta,35867,1366,0.04,31281,85330,27517,35736,35537,7996,37233,23463,0.63,55724,49087,22173,45060,11530,23437,34502,16211,0.47
YJL010C,P47077,NOP9,Nucleolar protein 9,2816,807,0.29,6143,12546,338,397,2179,136,3623,4499,1.24,308,4073,261,5300,NA,106,2009,2221,1.11
YJL011C,P47076,RPC17,DNA-directed RNA polymerase III subunit RPC9,11592,894,0.08,14857,22334,9052,3217,11652,3077,10698,6713,0.63,13467,11090,10655,18003,8701,13005,12487,2924,0.23
YJL012C,P47075,VTC4,Vacuolar transporter chaperone 4,25646,1106,0.04,36932,55679,12151,15137,24544,2797,24540,17502,0.71,38133,49276,12885,46442,10340,3440,26753,18392,0.69
YJL014W,P39077,CCT3,T-complex protein 1 subunit gamma,20789,2996,0.14,23959,49216,6057,8948,16288,2293,17793,15726,0.88,24647,32836,8914,49203,9370,17741,23785,14108,0.59
YJL020C,P47068,BBC1,Myosin tail region-interacting protein MTI1,26071,5694,0.22,21563,49461,11114,14613,24272,1238,20377,14988,0.74,60275,43643,20949,28097,16537,21091,31765,15439,0.49
YJL024C,P47064,APS3,AP-3 complex subunit sigma,128,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,128,0,0
YJL026W,P09938,RNR2,Ribonucleoside-diphosphate reductase small chain 1,139638,23042,0.17,257004,353842,102453,76750,172910,13124,162681,114690,0.71,187972,220615,83316,82403,99520,25749,116596,66753,0.57
